,District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
31,Tawang,low,medium,medium,medium,high,high,low,low,low,low,low,high,low,low,low,low,low,medium,high,high,low,low,low,high,high,low,low,low,AR,Rural,North Eastern Zone
34,West Kameng,medium,high,medium,medium,high,high,low,medium,low,medium,low,high,low,low,low,low,low,high,high,high,low,low,low,high,medium,low,low,low,AR,Rural,North Eastern Zone
37,East Kameng,low,high,low,low,medium,high,low,low,low,medium,low,high,low,low,low,low,low,high,medium,medium,medium,low,low,medium,medium,low,low,medium,AR,Rural,North Eastern Zone
39,Papum Pare,high,low,medium,high,high,high,high,high,high,medium,low,high,low,low,high,low,low,medium,high,high,low,low,low,high,high,medium,medium,low,AR,Urban,North Eastern Zone
40,Papum Pare,medium,low,low,high,high,medium,medium,high,medium,medium,low,high,low,low,low,low,medium,low,medium,high,low,low,low,high,high,medium,low,low,AR,Rural,North Eastern Zone
43,Upper Subansiri,low,medium,low,medium,medium,high,low,low,medium,medium,low,high,low,low,low,low,low,high,high,high,low,low,low,medium,medium,low,low,medium,AR,Rural,North Eastern Zone
46,West Siang,medium,medium,medium,high,medium,medium,medium,medium,high,medium,low,high,low,low,low,low,low,high,high,high,medium,low,low,medium,medium,low,low,low,AR,Rural,North Eastern Zone
49,East Siang,medium,medium,high,high,medium,high,high,high,high,medium,low,high,low,low,low,medium,medium,medium,medium,high,low,low,low,high,high,low,low,medium,AR,Rural,North Eastern Zone
55,Changlang,medium,high,low,medium,medium,high,medium,medium,low,medium,medium,medium,medium,low,low,high,low,high,medium,medium,low,low,low,medium,medium,medium,medium,medium,AR,Rural,North Eastern Zone
58,Tirap,medium,high,low,medium,low,high,medium,medium,low,low,medium,medium,low,low,low,low,low,high,medium,medium,medium,low,low,low,low,medium,low,low,AR,Rural,North Eastern Zone
61,Lower Subansiri,medium,medium,high,high,high,high,medium,high,medium,low,low,high,low,low,low,low,low,high,high,high,medium,low,low,medium,high,low,low,medium,AR,Rural,North Eastern Zone
64,Kurung Kumey,low,high,medium,medium,high,high,low,low,low,high,low,high,low,low,low,low,low,high,medium,medium,medium,low,low,medium,high,low,low,low,AR,Rural,North Eastern Zone
67,Dibang Valley,medium,high,high,high,medium,high,medium,low,medium,medium,medium,medium,low,medium,low,low,low,high,medium,medium,medium,low,low,high,medium,low,low,low,AR,Rural,North Eastern Zone
70,Lower Dibang Valley,medium,low,medium,high,medium,high,medium,low,medium,medium,low,high,low,low,low,low,low,medium,high,high,low,low,low,medium,medium,medium,low,low,AR,Rural,North Eastern Zone
73,Lohit,medium,low,medium,high,low,high,low,low,low,high,medium,medium,medium,low,low,low,low,high,high,high,low,low,medium,medium,medium,medium,medium,high,AR,Rural,North Eastern Zone
76,Anjaw,medium,high,low,medium,medium,high,medium,medium,medium,medium,low,high,low,low,low,low,low,high,high,high,low,low,low,medium,high,medium,low,low,AR,Rural,North Eastern Zone
78,Kokrajhar,medium,low,low,medium,medium,high,medium,low,low,high,medium,medium,medium,medium,low,low,low,high,high,high,low,medium,medium,low,medium,low,medium,medium,AS,Rural,North Eastern Zone
80,Dhubri,medium,low,medium,medium,low,high,low,low,low,high,low,high,low,low,low,low,low,high,medium,medium,high,high,low,low,medium,low,medium,high,AS,Rural,North Eastern Zone
82,Goalpara,medium,low,low,medium,low,high,medium,low,low,high,low,high,medium,medium,low,low,medium,high,high,high,high,medium,low,low,medium,low,medium,high,AS,Rural,North Eastern Zone
84,Barpeta,medium,medium,high,medium,medium,high,medium,medium,medium,high,medium,low,medium,medium,low,low,low,high,medium,medium,medium,medium,high,medium,medium,low,low,medium,AS,Rural,North Eastern Zone
86,Morigaon,high,high,high,medium,medium,high,medium,low,low,high,low,medium,medium,medium,low,low,low,high,medium,medium,medium,high,high,low,low,low,low,medium,AS,Rural,North Eastern Zone
88,Nagaon,high,high,medium,medium,low,high,medium,low,low,high,medium,high,medium,medium,low,low,low,high,high,medium,medium,high,high,medium,low,low,low,low,AS,Rural,North Eastern Zone
90,Sonitpur,high,medium,low,high,medium,high,medium,medium,low,medium,medium,low,medium,high,high,low,medium,high,medium,medium,low,medium,medium,medium,medium,low,medium,high,AS,Rural,North Eastern Zone
92,Lakhimpur,high,high,low,medium,medium,high,high,medium,high,medium,medium,high,medium,high,medium,low,low,high,high,high,low,medium,low,medium,medium,low,low,medium,AS,Rural,North Eastern Zone
94,Dhemaji,high,medium,medium,medium,low,high,medium,medium,medium,high,low,high,medium,medium,medium,low,low,high,medium,medium,medium,low,low,medium,medium,low,low,low,AS,Rural,North Eastern Zone
96,Tinsukia,medium,low,medium,medium,low,high,low,low,low,medium,medium,medium,medium,medium,medium,low,medium,high,medium,medium,medium,high,high,low,low,low,medium,high,AS,Rural,North Eastern Zone
98,Dibrugarh,high,medium,high,medium,medium,high,medium,low,medium,medium,medium,medium,high,high,medium,medium,medium,high,high,high,medium,high,high,low,medium,medium,medium,high,AS,Rural,North Eastern Zone
100,Sivasagar,high,high,medium,medium,medium,high,high,low,medium,medium,low,medium,high,high,medium,high,medium,high,high,high,medium,high,high,medium,medium,low,low,low,AS,Rural,North Eastern Zone
102,Jorhat,high,low,low,high,medium,high,high,high,medium,medium,low,medium,high,high,high,medium,medium,high,low,low,low,high,medium,low,medium,low,low,medium,AS,Rural,North Eastern Zone
104,Golaghat,high,high,medium,high,low,high,medium,medium,medium,medium,low,medium,medium,high,high,medium,medium,high,high,high,low,medium,medium,medium,medium,low,medium,high,AS,Rural,North Eastern Zone
106,Karbi Anglong,medium,medium,low,medium,low,high,medium,low,low,medium,medium,medium,medium,medium,low,low,low,high,high,high,low,medium,low,medium,medium,low,low,low,AS,Rural,North Eastern Zone
108,Dima Hasao,medium,medium,low,medium,low,high,medium,low,low,medium,low,high,low,medium,low,medium,low,high,medium,low,medium,low,low,low,low,low,low,low,AS,Rural,North Eastern Zone
110,Cachar,high,medium,low,medium,medium,high,medium,medium,low,medium,low,medium,medium,medium,low,low,medium,low,low,low,medium,high,high,low,low,low,medium,high,AS,Rural,North Eastern Zone
112,Karimganj,high,medium,low,medium,medium,high,high,high,low,medium,low,medium,medium,medium,low,low,medium,low,medium,medium,high,high,high,low,low,low,low,medium,AS,Rural,North Eastern Zone
114,Hailakandi,high,medium,low,medium,low,high,medium,medium,low,medium,low,high,medium,medium,low,low,high,low,medium,medium,medium,high,medium,low,low,low,medium,medium,AS,Rural,North Eastern Zone
116,Bongaigaon,medium,low,low,medium,medium,high,medium,medium,low,high,medium,medium,low,medium,low,low,medium,high,high,high,medium,medium,low,medium,high,low,medium,medium,AS,Rural,North Eastern Zone
118,Chirang,medium,high,low,medium,medium,high,medium,low,low,high,low,low,medium,medium,low,low,low,high,low,low,medium,medium,low,medium,medium,low,medium,high,AS,Rural,North Eastern Zone
120,Kamrup,high,high,medium,medium,high,high,high,medium,medium,medium,low,high,medium,medium,medium,low,medium,high,medium,medium,medium,medium,low,medium,medium,low,medium,high,AS,Rural,North Eastern Zone
122,Kamrup Metropolitan,high,low,low,high,high,high,high,high,high,medium,medium,high,medium,high,high,high,medium,high,high,high,low,low,low,high,high,low,medium,medium,AS,Urban,North Eastern Zone
124,Nalbari,high,medium,high,medium,medium,high,high,medium,medium,medium,medium,low,medium,medium,medium,low,low,high,low,low,low,medium,medium,medium,medium,low,low,high,AS,Rural,North Eastern Zone
126,Baksa,medium,high,low,medium,medium,high,medium,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,high,high,high,medium,low,medium,medium,low,low,medium,high,AS,Rural,North Eastern Zone
128,Darrang,medium,high,high,medium,medium,high,medium,low,low,high,medium,low,medium,medium,low,low,low,high,low,low,high,medium,high,low,low,low,low,high,AS,Rural,North Eastern Zone
130,Udalguri,medium,medium,low,medium,low,high,medium,medium,low,medium,medium,low,medium,medium,low,medium,medium,high,low,low,medium,medium,low,low,medium,low,medium,high,AS,Rural,North Eastern Zone
132,Pashchim Champaran,low,low,medium,low,low,low,low,low,low,high,low,high,low,low,low,low,medium,low,medium,medium,high,high,high,low,medium,medium,medium,high,BR,Rural,Eastern Zone
134,Purba Champaran,low,low,high,low,low,low,low,low,low,high,low,high,low,low,low,low,low,medium,medium,medium,high,high,high,low,low,high,medium,medium,BR,Rural,Eastern Zone
136,Sheohar,low,medium,high,low,low,low,low,low,low,high,low,high,low,low,low,medium,low,low,high,medium,high,high,high,low,medium,medium,medium,medium,BR,Rural,Eastern Zone
138,Sitamarhi,low,high,high,low,low,medium,low,low,low,high,low,high,low,low,low,medium,medium,medium,medium,medium,high,high,high,low,low,high,high,high,BR,Rural,Eastern Zone
140,Madhubani,low,medium,high,low,low,low,low,low,low,high,low,high,low,low,low,low,medium,low,medium,medium,high,high,medium,low,medium,medium,high,high,BR,Rural,Eastern Zone
142,Supaul,low,medium,high,low,low,medium,low,medium,low,high,low,high,low,low,low,medium,high,low,low,low,high,high,high,low,low,high,high,high,BR,Rural,Eastern Zone
144,Araria,low,medium,high,low,low,medium,low,low,low,high,low,high,low,low,low,low,medium,low,high,high,high,high,high,low,low,medium,high,high,BR,Rural,Eastern Zone
146,Kishanganj,low,medium,high,low,low,medium,low,low,low,medium,low,high,low,low,low,medium,high,low,high,medium,high,high,medium,low,low,medium,high,high,BR,Rural,Eastern Zone
148,Purnia,low,medium,high,low,low,medium,low,low,low,high,low,high,low,low,low,medium,high,medium,high,high,high,high,high,low,low,high,high,high,BR,Rural,Eastern Zone
150,Katihar,low,medium,high,low,low,medium,low,low,low,high,low,high,low,low,low,high,medium,medium,medium,medium,high,high,medium,low,low,medium,high,high,BR,Rural,Eastern Zone
152,Madhepura,low,medium,high,low,low,medium,low,low,low,high,low,high,low,low,low,medium,medium,medium,low,low,high,high,high,low,medium,medium,medium,high,BR,Rural,Eastern Zone
154,Saharsa,low,high,high,low,low,low,low,low,low,high,low,high,low,low,low,high,medium,low,low,low,high,high,high,low,low,high,high,high,BR,Rural,Eastern Zone
156,Darbhanga,low,medium,high,low,low,low,low,low,low,high,low,high,low,low,low,low,high,low,medium,medium,high,high,high,low,medium,high,high,high,BR,Rural,Eastern Zone
158,Muzaffarpur,low,medium,high,low,medium,medium,low,low,low,high,low,high,low,low,low,medium,medium,medium,medium,medium,high,high,high,low,medium,medium,medium,high,BR,Rural,Eastern Zone
160,Gopalganj,medium,high,high,low,medium,low,low,medium,medium,medium,low,high,low,low,medium,medium,medium,low,medium,medium,medium,medium,high,medium,high,medium,high,high,BR,Rural,Eastern Zone
162,Siwan,medium,high,high,low,medium,medium,medium,medium,medium,medium,low,high,low,medium,medium,medium,high,low,medium,high,medium,medium,medium,medium,medium,medium,high,high,BR,Rural,Eastern Zone
164,Saran,low,high,high,low,low,low,low,low,medium,medium,low,high,low,low,low,medium,medium,medium,low,medium,high,medium,high,medium,medium,medium,medium,medium,BR,Rural,Eastern Zone
166,Vaishali,low,low,high,medium,medium,medium,low,low,medium,high,low,high,low,low,medium,high,high,medium,high,medium,high,high,high,medium,medium,high,high,high,BR,Rural,Eastern Zone
168,Samastipur,low,high,high,low,low,low,low,low,medium,high,low,high,low,low,medium,medium,medium,medium,medium,low,high,high,high,low,low,medium,high,high,BR,Rural,Eastern Zone
170,Begusarai,low,high,high,medium,low,medium,low,low,low,high,low,high,low,low,medium,high,high,low,low,low,high,high,high,low,medium,medium,high,high,BR,Rural,Eastern Zone
172,Khagaria,low,high,high,medium,low,medium,low,low,low,high,low,high,low,low,low,medium,medium,low,medium,medium,high,high,medium,low,medium,medium,high,high,BR,Rural,Eastern Zone
174,Bhagalpur,low,low,high,low,low,low,low,low,low,high,low,high,low,medium,low,medium,high,medium,low,medium,high,high,high,low,low,high,high,high,BR,Rural,Eastern Zone
176,Banka,low,low,medium,low,low,low,low,low,low,high,low,high,low,medium,low,medium,medium,medium,medium,medium,high,high,high,low,medium,high,high,high,BR,Rural,Eastern Zone
178,Munger,medium,medium,medium,medium,medium,medium,low,medium,medium,high,low,high,low,low,medium,medium,high,medium,high,high,high,high,medium,medium,medium,medium,high,high,BR,Rural,Eastern Zone
180,Lakhisarai,low,medium,medium,medium,low,high,low,low,medium,high,low,high,low,low,low,medium,medium,medium,medium,medium,high,medium,medium,low,low,medium,high,high,BR,Rural,Eastern Zone
182,Sheikhpura,low,high,medium,medium,low,low,low,low,low,high,low,high,low,low,medium,medium,medium,medium,high,high,high,high,medium,low,low,high,high,high,BR,Rural,Eastern Zone
184,Nalanda,low,medium,high,low,medium,medium,low,low,low,high,low,high,low,low,medium,medium,medium,medium,low,medium,high,high,high,low,low,medium,high,medium,BR,Rural,Eastern Zone
186,Patna,high,medium,high,high,high,high,high,high,high,medium,medium,high,low,low,high,medium,medium,medium,medium,medium,medium,medium,low,high,high,low,medium,medium,BR,Urban,Eastern Zone
187,Patna,low,high,high,medium,medium,medium,low,low,medium,medium,low,high,low,medium,medium,medium,low,medium,low,low,high,high,medium,medium,low,medium,high,high,BR,Rural,Eastern Zone
189,Bhojpur,medium,high,high,low,medium,low,low,medium,medium,high,low,high,low,low,medium,high,medium,low,medium,medium,high,medium,medium,medium,low,high,high,high,BR,Rural,Eastern Zone
191,Buxar,medium,medium,high,low,medium,medium,medium,medium,medium,high,low,medium,low,low,medium,medium,medium,low,medium,medium,high,medium,medium,medium,low,medium,medium,high,BR,Rural,Eastern Zone
193,Kaimur (Bhabua),low,medium,medium,low,low,medium,low,low,medium,high,low,high,low,low,medium,high,low,medium,low,low,high,high,high,medium,medium,medium,medium,low,BR,Rural,Eastern Zone
195,Rohtas,medium,low,high,low,low,high,medium,low,medium,medium,medium,high,low,low,medium,high,medium,low,low,low,high,medium,high,medium,medium,medium,high,low,BR,Rural,Eastern Zone
197,Aurangabad,low,medium,high,low,low,low,low,high,medium,high,low,high,low,low,low,high,medium,medium,medium,medium,high,high,high,low,high,medium,medium,low,BR,Rural,Eastern Zone
199,Gaya,low,medium,medium,low,low,medium,low,low,medium,high,low,high,low,low,low,medium,medium,low,medium,medium,high,high,medium,low,medium,medium,high,high,BR,Rural,Eastern Zone
201,Nawada,low,medium,high,low,medium,medium,low,low,medium,high,low,high,low,low,low,medium,medium,medium,high,high,high,high,high,low,low,medium,high,medium,BR,Rural,Eastern Zone
203,Jamui,low,medium,low,low,low,low,low,low,low,high,low,high,low,low,low,medium,low,low,low,low,high,high,high,low,medium,medium,high,high,BR,Rural,Eastern Zone
205,Jehanabad,low,low,high,low,low,medium,low,low,medium,high,low,high,low,low,medium,medium,medium,medium,high,high,high,high,high,low,medium,medium,high,medium,BR,Rural,Eastern Zone
207,Arwal,low,medium,high,low,low,low,low,medium,medium,high,low,high,low,low,low,high,medium,medium,low,low,high,high,high,low,low,medium,medium,high,BR,Rural,Eastern Zone
209,Korea,high,medium,medium,medium,high,high,high,high,high,medium,medium,medium,medium,high,medium,high,high,medium,medium,medium,low,medium,low,medium,high,low,low,low,CT,Urban,Central Zone
210,Korea,medium,high,low,low,low,high,low,low,low,high,medium,medium,medium,medium,low,high,high,medium,high,high,medium,medium,low,low,medium,low,low,medium,CT,Rural,Central Zone
212,Surguja,low,high,low,low,low,high,low,low,low,high,medium,medium,medium,medium,low,medium,medium,medium,high,high,medium,high,high,low,low,low,low,low,CT,Rural,Central Zone
214,Jashpur,medium,medium,low,low,low,high,medium,low,medium,high,medium,medium,medium,medium,low,low,medium,medium,high,medium,medium,high,high,low,low,low,low,medium,CT,Rural,Central Zone
216,Raigarh,medium,medium,medium,low,low,high,medium,medium,medium,medium,medium,medium,high,medium,low,medium,high,medium,high,high,medium,high,medium,low,low,low,low,medium,CT,Rural,Central Zone
218,Korba,high,high,medium,high,high,high,high,high,high,low,high,medium,high,medium,medium,high,high,medium,medium,medium,low,medium,medium,high,high,low,low,low,CT,Urban,Central Zone
219,Korba,medium,medium,low,low,low,high,low,low,low,medium,medium,medium,medium,medium,low,high,medium,medium,medium,medium,medium,high,high,low,low,low,medium,medium,CT,Rural,Central Zone
221,Janjgir - Champa,medium,low,medium,low,low,high,medium,high,medium,medium,high,medium,medium,low,low,medium,medium,medium,high,high,medium,high,medium,medium,low,low,low,low,CT,Rural,Central Zone
223,Bilaspur,medium,high,medium,low,low,high,medium,medium,low,medium,high,low,medium,high,medium,high,high,high,medium,medium,medium,low,medium,low,low,low,low,high,CT,Rural,Central Zone
225,Kabirdham,low,medium,medium,low,low,medium,low,low,low,high,high,medium,medium,medium,low,medium,high,medium,high,high,medium,high,medium,low,medium,low,low,low,CT,Rural,Central Zone
227,Rajnandgaon,high,medium,medium,medium,low,high,medium,high,medium,low,high,low,medium,high,medium,high,high,high,medium,medium,high,low,low,low,low,low,low,low,CT,Rural,Central Zone
229,Durg,high,low,high,high,high,high,high,high,high,low,high,medium,high,high,medium,high,high,medium,medium,medium,low,medium,high,high,high,low,medium,low,CT,Urban,Central Zone
230,Durg,medium,high,high,medium,low,high,medium,high,medium,medium,high,low,medium,medium,low,high,high,medium,low,low,medium,medium,high,medium,low,low,medium,medium,CT,Rural,Central Zone
232,Raipur,high,medium,high,high,high,high,high,high,high,low,high,medium,high,high,medium,high,high,medium,high,high,medium,low,high,high,high,low,medium,medium,CT,Urban,Central Zone
233,Raipur,medium,high,medium,low,low,high,medium,medium,low,medium,high,medium,high,medium,low,high,medium,medium,medium,medium,medium,high,medium,medium,medium,low,medium,medium,CT,Rural,Central Zone
235,Mahasamund,medium,medium,high,low,low,high,medium,medium,low,medium,high,low,medium,medium,medium,high,medium,medium,high,high,high,high,medium,low,low,low,medium,medium,CT,Rural,Central Zone
237,Dhamtari,medium,high,medium,medium,low,high,medium,high,medium,low,high,low,high,high,medium,high,high,medium,high,high,medium,high,medium,low,low,medium,high,high,CT,Rural,Central Zone
239,Uttar Bastar Kanker,medium,low,high,medium,low,high,medium,medium,medium,low,high,medium,high,high,medium,high,high,medium,medium,low,medium,high,high,low,medium,medium,high,high,CT,Rural,Central Zone
241,Bastar,low,high,medium,low,low,medium,low,low,low,medium,medium,medium,medium,medium,low,high,medium,high,medium,medium,medium,high,high,low,low,medium,high,high,CT,Rural,Central Zone
243,Narayanpur,low,low,medium,low,low,high,low,low,low,medium,low,medium,medium,medium,low,medium,high,high,low,low,high,medium,medium,low,low,low,high,medium,CT,Rural,Central Zone
245,Dakshin Bastar Dantewada,low,high,medium,low,low,high,low,low,low,medium,low,medium,medium,medium,low,medium,medium,medium,medium,medium,high,high,high,low,low,high,high,high,CT,Rural,Central Zone
247,Bijapur,medium,medium,medium,low,low,high,medium,medium,low,low,medium,low,medium,medium,medium,high,high,medium,medium,low,high,medium,low,low,low,low,high,high,CT,Rural,Central Zone
249,North West,high,low,low,high,high,medium,high,high,high,low,medium,medium,high,high,medium,high,medium,medium,medium,medium,medium,low,high,high,medium,high,medium,high,DL,Urban,Northern Zone
252,North,high,high,medium,high,high,medium,high,medium,high,low,medium,high,high,high,high,low,medium,low,low,low,low,low,medium,high,high,medium,medium,high,DL,Urban,Northern Zone
255,North East,high,low,high,high,high,high,high,medium,high,low,medium,medium,medium,high,medium,medium,medium,low,high,medium,low,low,low,high,high,low,low,medium,DL,Urban,Northern Zone
258,East,high,low,medium,high,high,medium,high,high,high,low,low,high,medium,high,medium,medium,medium,low,low,low,low,low,medium,high,high,low,low,low,DL,Urban,Northern Zone
264,Central,high,high,medium,high,high,high,high,high,high,low,medium,medium,high,high,high,medium,medium,low,high,medium,medium,low,low,high,medium,high,medium,medium,DL,Urban,Northern Zone
270,South West,high,low,low,high,high,high,high,low,high,medium,medium,medium,high,high,high,high,medium,low,medium,low,medium,low,low,high,high,medium,high,medium,DL,Urban,Northern Zone
273,South,high,low,low,high,high,medium,high,high,high,low,medium,high,high,high,medium,low,low,low,low,medium,low,low,low,high,high,high,high,low,DL,Urban,Northern Zone
279,South Goa,high,low,high,high,high,high,high,high,high,low,medium,medium,high,high,high,high,high,high,medium,medium,low,low,low,high,high,medium,low,low,GA,Urban,Western Zone
282,Kachchh,medium,low,low,high,high,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,low,medium,high,high,high,medium,medium,low,high,high,high,high,medium,GJ,Urban,Western Zone
283,Kachchh,low,high,medium,medium,medium,medium,low,medium,low,medium,low,high,medium,high,medium,low,high,low,low,low,medium,medium,high,medium,high,high,high,medium,GJ,Rural,Western Zone
285,Banaskantha,low,high,high,medium,medium,medium,low,medium,low,high,medium,high,medium,medium,high,low,medium,medium,medium,medium,medium,high,high,low,medium,medium,medium,low,GJ,Rural,Western Zone
287,Patan,low,medium,medium,medium,medium,medium,low,low,low,high,medium,high,high,medium,high,low,high,medium,low,low,medium,high,high,medium,medium,high,medium,medium,GJ,Rural,Western Zone
289,Mahesana,high,low,medium,high,high,medium,medium,medium,medium,high,medium,medium,high,medium,high,low,medium,high,medium,low,medium,high,high,medium,medium,high,high,high,GJ,Rural,Western Zone
291,Sabarkantha,medium,medium,medium,medium,medium,low,medium,high,medium,high,medium,high,medium,medium,medium,low,medium,medium,low,low,high,high,high,medium,medium,high,high,high,GJ,Rural,Western Zone
296,Ahmadabad,high,medium,medium,high,high,medium,high,high,high,medium,medium,medium,high,high,high,low,medium,medium,medium,medium,low,medium,medium,high,high,high,high,medium,GJ,Urban,Western Zone
298,Surendranagar,low,high,low,medium,medium,low,low,medium,low,medium,medium,high,medium,medium,medium,low,high,medium,low,low,high,high,high,medium,medium,high,high,high,GJ,Rural,Western Zone
303,Jamnagar,high,high,medium,high,high,medium,high,medium,medium,low,low,high,high,high,high,medium,medium,low,high,high,medium,low,low,high,medium,high,high,medium,GJ,Urban,Western Zone
307,Porbandar,medium,low,low,high,medium,high,medium,high,low,medium,low,high,medium,high,high,high,high,high,low,low,low,low,medium,medium,medium,high,high,medium,GJ,Rural,Western Zone
312,Amreli,medium,low,medium,high,high,low,high,medium,medium,low,medium,medium,medium,medium,medium,medium,high,high,medium,medium,medium,low,low,high,high,high,high,medium,GJ,Rural,Western Zone
318,Anand,high,medium,high,medium,medium,low,medium,high,medium,high,medium,medium,high,high,high,medium,high,high,low,low,high,high,high,medium,low,medium,medium,medium,GJ,Rural,Western Zone
320,Kheda,medium,low,high,medium,medium,medium,medium,high,medium,high,low,high,medium,medium,high,low,high,high,medium,medium,high,high,high,medium,low,medium,medium,medium,GJ,Rural,Western Zone
322,Panchmahal,medium,medium,low,medium,low,low,low,high,medium,high,low,high,medium,medium,medium,low,medium,low,medium,low,high,high,high,low,medium,medium,medium,medium,GJ,Rural,Western Zone
324,Dohad,low,high,low,low,low,low,low,low,medium,high,low,high,medium,low,medium,low,high,medium,medium,medium,high,high,high,low,low,medium,medium,medium,GJ,Rural,Western Zone
329,Narmada,medium,medium,high,medium,low,medium,medium,medium,low,high,high,medium,high,high,medium,medium,medium,high,low,low,high,high,high,low,medium,medium,medium,medium,GJ,Rural,Western Zone
331,Bharuch,high,high,low,high,high,high,high,high,high,medium,high,low,high,high,high,high,medium,high,high,high,medium,medium,medium,high,high,low,medium,low,GJ,Urban,Western Zone
332,Bharuch,medium,high,medium,medium,medium,medium,medium,medium,low,medium,high,medium,high,high,medium,low,high,high,medium,medium,high,high,high,medium,medium,medium,medium,medium,GJ,Rural,Western Zone
334,The Dangs,medium,medium,low,low,low,medium,low,low,low,high,medium,medium,medium,high,low,low,high,medium,low,low,high,high,high,low,low,high,high,high,GJ,Rural,Western Zone
