,District,1. Population (female) age 6+ years who ever attended school (%),4. Sex ratio at birth for children born in the last five years (females per 1000 males),7. Households with an improved drinking-water source1 (%),8. Households using improved sanitation facility2 (%),9. Households using clean fuel for cooking3 (%),10. Households using iodized salt (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),19. Any modern method (%),25. Total unmet need (%),30. Mothers who had at least 4 antenatal care visits (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),40. Institutional births (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),62. Children under age 3 years breastfed within one hour of birth8 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),State,Region,Zone
90,Sonitpur,medium,medium,medium,medium,low,high,medium,high,low,medium,medium,low,medium,medium,high,medium,medium,medium,low,low,low,medium,medium,low,low,low,medium,medium,AS,Rural,North Eastern Zone
92,Lakhimpur,high,medium,medium,medium,low,high,high,high,medium,medium,medium,medium,medium,medium,high,medium,medium,high,low,low,medium,medium,low,low,low,low,medium,medium,AS,Rural,North Eastern Zone
94,Dhemaji,medium,low,high,medium,low,high,medium,high,medium,medium,medium,medium,medium,medium,high,medium,medium,medium,low,low,medium,low,low,low,low,medium,medium,low,AS,Rural,North Eastern Zone
96,Tinsukia,medium,low,high,medium,low,high,medium,medium,low,medium,medium,low,medium,medium,high,medium,medium,high,low,low,medium,high,high,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
98,Dibrugarh,medium,medium,high,medium,low,high,medium,medium,low,medium,medium,medium,high,medium,high,high,high,high,low,low,medium,medium,medium,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
100,Sivasagar,high,medium,high,medium,low,high,high,medium,medium,medium,medium,medium,high,medium,high,high,medium,medium,medium,low,medium,medium,high,low,low,low,medium,low,AS,Rural,North Eastern Zone
102,Jorhat,high,low,high,medium,low,high,high,high,medium,low,medium,low,high,high,high,medium,medium,high,low,low,low,medium,medium,low,low,medium,medium,low,AS,Rural,North Eastern Zone
104,Golaghat,high,medium,high,medium,low,high,medium,high,low,medium,medium,medium,medium,medium,high,high,medium,high,low,low,medium,medium,medium,low,low,low,medium,medium,AS,Rural,North Eastern Zone
106,Karbi Anglong,medium,low,low,medium,low,high,medium,medium,low,medium,medium,medium,medium,low,medium,low,low,high,low,low,low,low,low,low,low,low,medium,low,AS,Rural,North Eastern Zone
108,Dima Hasao,medium,medium,low,medium,low,high,medium,medium,low,medium,medium,medium,low,medium,medium,medium,medium,medium,low,low,medium,low,low,low,low,low,medium,low,AS,Rural,North Eastern Zone
110,Cachar,medium,medium,medium,low,low,high,medium,high,low,low,medium,medium,medium,low,high,medium,medium,low,low,low,medium,medium,medium,low,low,low,medium,medium,AS,Rural,North Eastern Zone
112,Karimganj,high,medium,medium,medium,low,high,high,high,low,medium,medium,medium,medium,low,medium,medium,medium,low,low,low,medium,medium,medium,low,low,low,medium,medium,AS,Rural,North Eastern Zone
114,Hailakandi,medium,medium,low,low,low,high,medium,high,low,low,medium,medium,medium,low,medium,medium,high,low,low,low,medium,medium,medium,low,low,low,medium,medium,AS,Rural,North Eastern Zone
116,Bongaigaon,medium,low,medium,medium,low,high,medium,high,low,medium,medium,low,low,medium,medium,medium,medium,medium,medium,low,medium,medium,low,low,medium,low,medium,medium,AS,Rural,North Eastern Zone
118,Chirang,medium,medium,medium,low,low,high,medium,medium,low,medium,medium,low,medium,medium,medium,medium,medium,high,low,low,medium,medium,low,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
120,Kamrup,high,medium,high,medium,medium,high,high,high,medium,medium,medium,medium,medium,low,high,medium,medium,medium,low,low,medium,low,low,low,low,low,medium,medium,AS,Rural,North Eastern Zone
122,Kamrup Metropolitan,high,low,high,medium,high,high,high,high,medium,low,medium,medium,medium,medium,high,high,medium,medium,low,low,low,low,low,medium,medium,low,medium,medium,AS,Urban,North Eastern Zone
124,Nalbari,high,low,high,medium,low,high,high,high,medium,medium,medium,low,medium,medium,high,medium,medium,high,low,low,low,medium,medium,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
126,Baksa,medium,medium,high,medium,low,high,medium,high,low,medium,medium,low,medium,medium,high,medium,medium,high,low,low,medium,low,medium,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
128,Darrang,medium,medium,high,medium,low,high,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium,high,low,low,medium,medium,medium,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
130,Udalguri,medium,low,high,medium,low,high,medium,high,low,medium,medium,low,medium,medium,high,medium,medium,high,low,low,medium,medium,low,low,low,medium,medium,medium,AS,Rural,North Eastern Zone
132,Pashchim Champaran,low,low,high,low,low,high,low,medium,low,medium,low,medium,low,low,medium,low,medium,low,low,low,medium,medium,medium,low,low,medium,medium,medium,BR,Rural,Eastern Zone
134,Purba Champaran,low,low,high,low,low,high,low,low,low,medium,low,medium,low,low,medium,medium,medium,medium,low,low,medium,medium,medium,low,low,high,medium,medium,BR,Rural,Eastern Zone
136,Sheohar,low,low,high,low,low,high,low,medium,low,high,low,high,low,low,medium,medium,medium,low,low,low,high,medium,medium,low,low,medium,medium,medium,BR,Rural,Eastern Zone
138,Sitamarhi,low,medium,high,low,low,high,low,medium,low,high,medium,medium,low,low,medium,medium,medium,low,low,low,high,medium,high,low,low,high,high,medium,BR,Rural,Eastern Zone
140,Madhubani,low,medium,high,low,low,medium,low,medium,low,medium,low,medium,low,low,medium,medium,medium,low,low,low,high,medium,medium,low,low,medium,high,high,BR,Rural,Eastern Zone
142,Supaul,low,medium,high,low,low,high,low,medium,low,high,medium,medium,low,low,medium,medium,high,low,low,low,medium,high,medium,low,low,high,high,high,BR,Rural,Eastern Zone
144,Araria,low,medium,high,low,low,high,low,medium,low,medium,medium,medium,low,low,medium,medium,medium,low,low,low,high,high,high,low,low,medium,high,high,BR,Rural,Eastern Zone
146,Kishanganj,low,medium,high,low,low,high,low,low,low,medium,low,high,low,low,medium,medium,high,low,low,low,medium,medium,medium,low,low,medium,high,high,BR,Rural,Eastern Zone
148,Purnia,medium,medium,high,low,low,high,low,medium,low,medium,medium,medium,low,low,medium,medium,high,medium,medium,low,high,high,high,low,low,high,high,medium,BR,Rural,Eastern Zone
150,Katihar,low,low,high,low,low,high,low,low,low,medium,low,medium,low,low,medium,high,medium,medium,low,low,high,medium,medium,low,low,medium,high,medium,BR,Rural,Eastern Zone
152,Madhepura,low,low,high,low,low,high,low,medium,low,high,low,medium,low,low,medium,medium,medium,medium,low,low,high,medium,high,low,low,medium,medium,medium,BR,Rural,Eastern Zone
154,Saharsa,low,medium,high,low,low,high,low,low,low,medium,low,medium,low,low,medium,high,medium,low,low,low,medium,medium,medium,low,low,high,high,high,BR,Rural,Eastern Zone
156,Darbhanga,low,medium,high,low,low,high,low,medium,low,medium,low,high,low,low,medium,medium,high,low,low,low,high,medium,medium,low,low,high,high,high,BR,Rural,Eastern Zone
158,Muzaffarpur,medium,medium,high,low,low,high,medium,medium,low,medium,low,medium,low,low,medium,medium,medium,low,low,low,high,medium,medium,low,low,medium,medium,medium,BR,Rural,Eastern Zone
160,Gopalganj,medium,medium,high,low,low,high,medium,high,low,medium,low,high,low,low,high,medium,high,low,low,low,medium,medium,medium,low,medium,medium,high,medium,BR,Rural,Eastern Zone
162,Siwan,medium,medium,high,low,low,high,medium,high,low,medium,low,high,low,low,high,medium,high,low,low,low,medium,medium,medium,low,low,medium,high,medium,BR,Rural,Eastern Zone
164,Saran,medium,medium,high,low,low,medium,medium,medium,low,medium,low,high,low,low,medium,medium,medium,medium,low,low,medium,medium,medium,low,low,medium,medium,medium,BR,Rural,Eastern Zone
166,Vaishali,medium,low,high,low,low,high,medium,medium,low,high,low,medium,low,low,high,high,high,low,low,low,high,medium,medium,low,low,high,high,medium,BR,Rural,Eastern Zone
168,Samastipur,medium,medium,high,low,low,high,medium,medium,low,high,low,high,low,low,high,medium,medium,low,low,low,high,medium,high,low,low,medium,high,medium,BR,Rural,Eastern Zone
170,Begusarai,medium,medium,high,low,low,high,low,medium,low,high,medium,medium,low,low,high,high,high,low,low,low,medium,medium,medium,low,low,medium,medium,medium,BR,Rural,Eastern Zone
172,Khagaria,low,medium,high,low,low,high,low,medium,low,high,low,medium,low,low,high,medium,medium,low,low,low,high,medium,medium,low,low,medium,high,medium,BR,Rural,Eastern Zone
174,Bhagalpur,medium,low,high,low,low,high,low,medium,low,medium,low,medium,low,low,medium,high,high,low,low,low,high,medium,medium,low,low,high,high,high,BR,Rural,Eastern Zone
176,Banka,low,low,high,low,low,high,low,medium,low,medium,low,medium,low,low,high,medium,medium,low,low,low,high,medium,medium,low,low,high,high,high,BR,Rural,Eastern Zone
178,Munger,medium,low,high,low,low,high,medium,high,low,medium,medium,medium,low,low,high,medium,high,low,low,low,high,medium,medium,low,low,medium,high,medium,BR,Rural,Eastern Zone
180,Lakhisarai,medium,medium,high,medium,low,high,medium,medium,low,medium,medium,medium,low,low,medium,medium,medium,low,low,low,high,medium,low,low,low,medium,high,high,BR,Rural,Eastern Zone
182,Sheikhpura,medium,medium,high,low,low,high,low,medium,low,medium,medium,medium,low,low,high,medium,medium,medium,medium,medium,medium,high,medium,low,low,high,high,medium,BR,Rural,Eastern Zone
184,Nalanda,medium,low,high,low,low,high,low,medium,low,high,medium,medium,low,low,high,medium,medium,medium,low,low,high,medium,medium,low,low,medium,high,medium,BR,Rural,Eastern Zone
186,Patna,medium,medium,high,high,high,high,high,high,medium,medium,medium,medium,low,low,high,high,medium,low,low,low,medium,medium,low,medium,medium,medium,medium,medium,BR,Urban,Eastern Zone
187,Patna,medium,medium,high,low,low,high,medium,medium,low,medium,medium,medium,low,low,high,high,medium,medium,low,low,high,medium,medium,low,low,medium,high,medium,BR,Rural,Eastern Zone
189,Bhojpur,medium,medium,high,low,low,high,medium,high,low,medium,low,medium,low,low,high,high,medium,low,low,low,medium,medium,medium,low,low,high,medium,medium,BR,Rural,Eastern Zone
191,Buxar,medium,medium,high,low,low,high,medium,high,low,medium,medium,medium,low,low,high,medium,medium,low,low,low,medium,medium,medium,low,low,medium,medium,medium,BR,Rural,Eastern Zone
193,Kaimur (Bhabua),medium,low,high,low,low,high,medium,medium,low,medium,medium,medium,low,low,high,high,medium,medium,low,low,high,medium,medium,low,low,medium,medium,low,BR,Rural,Eastern Zone
195,Rohtas,medium,low,high,low,low,high,medium,medium,medium,medium,medium,medium,low,low,high,high,medium,low,low,low,high,medium,medium,low,low,medium,high,low,BR,Rural,Eastern Zone
197,Aurangabad,medium,medium,high,low,low,high,medium,high,low,medium,medium,medium,low,low,high,high,medium,medium,low,low,high,medium,high,low,medium,medium,medium,low,BR,Rural,Eastern Zone
199,Gaya,medium,medium,high,low,low,high,medium,medium,low,high,medium,medium,low,low,medium,high,high,low,low,low,high,high,medium,low,low,medium,high,medium,BR,Rural,Eastern Zone
201,Nawada,low,medium,high,low,low,high,low,medium,low,medium,medium,medium,low,low,medium,medium,medium,low,low,low,high,medium,medium,low,low,medium,high,medium,BR,Rural,Eastern Zone
203,Jamui,low,low,high,low,low,high,low,medium,low,high,low,medium,low,low,medium,medium,medium,low,low,low,medium,high,medium,low,low,medium,high,medium,BR,Rural,Eastern Zone
205,Jehanabad,medium,low,high,low,low,high,medium,medium,medium,medium,medium,medium,low,low,high,medium,medium,medium,low,low,high,medium,medium,low,low,medium,medium,medium,BR,Rural,Eastern Zone
207,Arwal,medium,low,high,low,low,high,medium,high,medium,medium,low,medium,low,low,high,high,medium,low,low,low,high,medium,medium,low,low,medium,medium,medium,BR,Rural,Eastern Zone
209,Korea,high,low,high,medium,medium,high,high,high,medium,low,medium,medium,medium,medium,high,high,high,medium,low,low,low,low,low,medium,medium,low,low,low,CT,Urban,Central Zone
210,Korea,medium,medium,medium,low,low,high,medium,medium,low,medium,medium,low,medium,medium,medium,high,high,medium,medium,medium,medium,medium,low,low,low,low,medium,low,CT,Rural,Central Zone
212,Surguja,medium,medium,medium,low,low,high,medium,medium,low,medium,medium,medium,medium,low,medium,medium,medium,low,low,low,medium,high,medium,low,low,medium,medium,low,CT,Rural,Central Zone
214,Jashpur,medium,medium,high,low,low,high,medium,medium,low,medium,medium,medium,low,low,medium,medium,medium,low,low,low,medium,medium,medium,low,low,low,medium,low,CT,Rural,Central Zone
216,Raigarh,medium,medium,high,low,low,high,medium,high,low,low,medium,low,medium,low,medium,medium,high,medium,medium,low,medium,medium,medium,low,low,medium,medium,medium,CT,Rural,Central Zone
218,Korba,high,medium,high,medium,medium,high,high,high,medium,low,high,low,high,medium,high,high,high,medium,low,low,low,medium,medium,medium,medium,low,medium,low,CT,Urban,Central Zone
219,Korba,medium,low,medium,low,low,high,medium,medium,low,medium,medium,medium,medium,low,medium,high,medium,medium,low,low,medium,high,high,low,low,medium,medium,medium,CT,Rural,Central Zone
221,Janjgir - Champa,medium,low,high,low,low,high,medium,high,low,low,high,medium,medium,low,medium,high,medium,medium,medium,medium,medium,medium,medium,low,low,low,medium,low,CT,Rural,Central Zone
223,Bilaspur,medium,medium,high,low,low,high,medium,high,low,low,high,low,medium,medium,high,high,high,medium,low,low,medium,low,medium,low,low,low,medium,medium,CT,Rural,Central Zone
225,Kabirdham,medium,low,high,low,low,high,medium,medium,low,medium,high,low,medium,low,medium,medium,high,medium,medium,low,medium,medium,medium,low,low,medium,medium,low,CT,Rural,Central Zone
227,Rajnandgaon,medium,medium,high,medium,low,high,high,high,low,low,high,low,medium,medium,high,high,high,medium,low,low,high,low,low,low,low,low,medium,low,CT,Rural,Central Zone
229,Durg,high,low,high,medium,high,high,high,high,medium,low,high,low,high,medium,high,high,high,medium,low,low,low,low,medium,medium,medium,medium,medium,low,CT,Urban,Central Zone
230,Durg,medium,medium,high,low,low,high,medium,high,low,low,high,low,medium,medium,medium,high,high,low,low,low,medium,medium,high,low,low,medium,medium,medium,CT,Rural,Central Zone
232,Raipur,high,medium,high,medium,high,high,high,high,medium,low,high,low,high,medium,high,high,high,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,low,CT,Urban,Central Zone
233,Raipur,medium,medium,high,low,low,high,medium,high,low,low,high,low,high,low,medium,high,medium,medium,low,low,medium,medium,medium,low,low,medium,medium,medium,CT,Rural,Central Zone
235,Mahasamund,medium,low,high,low,low,high,medium,high,low,low,high,low,medium,low,high,high,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,CT,Rural,Central Zone
237,Dhamtari,medium,medium,high,medium,low,high,high,high,low,low,high,low,high,medium,high,high,high,medium,medium,low,medium,medium,medium,low,low,medium,medium,medium,CT,Rural,Central Zone
239,Uttar Bastar Kanker,medium,low,high,low,low,high,medium,high,low,low,medium,medium,high,medium,high,high,high,medium,low,low,medium,high,high,low,low,medium,high,medium,CT,Rural,Central Zone
241,Bastar,low,medium,high,low,low,high,low,medium,low,low,medium,medium,medium,low,medium,high,medium,medium,low,low,medium,high,high,low,low,medium,high,high,CT,Rural,Central Zone
243,Narayanpur,medium,low,high,low,low,high,low,medium,low,low,medium,medium,medium,low,medium,medium,high,medium,low,low,high,medium,medium,low,low,medium,high,medium,CT,Rural,Central Zone
245,Dakshin Bastar Dantewada,low,medium,high,low,low,high,low,low,low,low,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,high,medium,low,low,high,high,high,CT,Rural,Central Zone
247,Bijapur,medium,medium,high,low,low,high,medium,high,low,low,medium,low,medium,low,high,high,high,medium,low,low,high,medium,low,low,low,medium,high,medium,CT,Rural,Central Zone
249,North West,high,low,high,medium,high,high,high,high,medium,low,medium,medium,medium,medium,high,high,medium,low,low,low,medium,low,medium,high,low,high,medium,medium,DL,Urban,Northern Zone
252,North,high,medium,high,high,high,high,high,high,medium,low,medium,medium,high,medium,high,medium,medium,low,low,low,low,low,medium,high,medium,medium,medium,medium,DL,Urban,Northern Zone
255,North East,high,low,high,high,high,high,high,high,medium,low,medium,medium,medium,medium,high,medium,medium,low,low,low,low,low,low,medium,medium,medium,low,low,DL,Urban,Northern Zone
258,East,high,low,high,high,high,high,high,high,high,low,medium,medium,medium,medium,high,medium,medium,low,low,low,low,low,medium,high,high,medium,medium,low,DL,Urban,Northern Zone
264,Central,high,high,high,high,high,high,high,high,high,low,medium,medium,high,high,high,high,medium,low,low,low,medium,low,low,high,low,high,medium,medium,DL,Urban,Northern Zone
270,South West,high,low,high,medium,high,high,high,medium,high,low,medium,low,high,high,high,high,medium,low,low,low,medium,low,low,high,medium,medium,high,medium,DL,Urban,Northern Zone
273,South,high,low,high,high,high,high,high,high,medium,low,medium,medium,high,medium,high,medium,medium,low,low,low,medium,low,low,medium,medium,high,medium,low,DL,Urban,Northern Zone
279,South Goa,high,low,high,high,high,high,high,high,medium,low,medium,medium,high,medium,high,high,high,medium,low,low,low,low,low,high,medium,medium,low,low,GA,Urban,Western Zone
282,Kachchh,medium,low,medium,high,medium,high,medium,high,low,medium,medium,medium,medium,medium,high,medium,medium,medium,low,low,medium,medium,low,medium,medium,high,medium,medium,GJ,Urban,Western Zone
283,Kachchh,medium,medium,high,medium,low,high,medium,high,low,medium,medium,medium,medium,medium,high,medium,high,low,low,low,medium,medium,medium,medium,medium,high,high,medium,GJ,Rural,Western Zone
285,Banaskantha,medium,medium,high,low,low,high,medium,high,low,high,medium,medium,medium,low,high,low,medium,medium,low,low,medium,high,medium,low,low,medium,medium,low,GJ,Rural,Western Zone
287,Patan,medium,low,high,medium,low,high,medium,medium,low,medium,medium,medium,high,low,high,low,high,medium,low,low,medium,medium,high,low,low,high,medium,medium,GJ,Rural,Western Zone
289,Mahesana,medium,low,high,medium,medium,high,high,high,low,medium,medium,medium,high,medium,high,medium,high,medium,low,low,medium,medium,medium,medium,low,high,high,medium,GJ,Rural,Western Zone
291,Sabarkantha,medium,low,high,medium,low,high,medium,high,medium,medium,medium,medium,medium,low,high,medium,medium,medium,low,low,high,high,medium,low,low,high,high,high,GJ,Rural,Western Zone
296,Ahmadabad,high,low,high,high,high,high,high,high,medium,low,medium,medium,high,high,high,medium,medium,medium,low,low,low,low,medium,high,medium,high,high,medium,GJ,Urban,Western Zone
298,Surendranagar,medium,medium,high,low,low,high,medium,medium,low,medium,medium,medium,medium,low,high,medium,high,medium,low,low,high,medium,high,low,low,high,high,medium,GJ,Rural,Western Zone
303,Jamnagar,medium,medium,high,high,high,high,high,high,medium,low,medium,medium,high,high,high,high,medium,low,low,low,medium,low,low,high,low,high,high,medium,GJ,Urban,Western Zone
307,Porbandar,medium,low,high,medium,low,high,medium,high,low,low,medium,medium,medium,medium,high,high,high,medium,low,low,low,low,medium,medium,low,high,medium,medium,GJ,Rural,Western Zone
312,Amreli,medium,low,high,high,medium,high,high,high,medium,low,medium,medium,medium,medium,high,medium,high,medium,low,low,medium,low,low,medium,medium,high,medium,medium,GJ,Rural,Western Zone
318,Anand,medium,low,high,medium,low,medium,medium,high,low,medium,medium,medium,high,medium,high,medium,high,high,low,low,high,high,high,low,low,medium,medium,medium,GJ,Rural,Western Zone
320,Kheda,medium,low,high,medium,low,high,medium,high,low,medium,medium,medium,medium,medium,high,medium,high,medium,low,low,medium,high,high,low,low,medium,medium,low,GJ,Rural,Western Zone
322,Panchmahal,medium,medium,high,low,low,high,medium,high,low,medium,low,medium,medium,low,high,low,medium,low,low,low,medium,high,high,low,low,medium,medium,medium,GJ,Rural,Western Zone
324,Dohad,medium,medium,medium,low,low,high,low,medium,low,medium,low,medium,medium,low,high,low,high,medium,low,low,medium,high,high,low,low,medium,medium,medium,GJ,Rural,Western Zone
329,Narmada,medium,low,high,low,low,high,medium,high,low,medium,medium,medium,high,medium,high,high,high,medium,low,low,high,high,high,low,low,medium,medium,medium,GJ,Rural,Western Zone
331,Bharuch,high,medium,medium,high,high,high,high,high,medium,low,medium,low,high,high,high,high,high,high,low,low,medium,low,medium,high,medium,medium,medium,low,GJ,Urban,Western Zone
